證券代碼,簡稱,年月日,收盤價(元)
COID,Name,MDATE,CLOSE
1301   ,台塑         ,20190415,   108.5000
1303   ,南亞         ,20190415,    76.7000
6505   ,台塑化       ,20190415,   113.5000
1326   ,台化         ,20190416,   108.5000
1301   ,台塑         ,20190416,   109.0000
1303   ,南亞         ,20190416,    77.1000
6505   ,台塑化       ,20190416,   114.5000
1326   ,台化         ,20190417,   108.5000
1301   ,台塑         ,20190417,   109.0000
1303   ,南亞         ,20190417,    77.6000
6505   ,台塑化       ,20190417,   115.0000
1326   ,台化         ,20190418,   109.0000
1301   ,台塑         ,20190418,   108.0000
1303   ,南亞         ,20190418,    77.3000
6505   ,台塑化       ,20190418,   114.5000
1326   ,台化         ,20190419,   108.5000
1301   ,台塑         ,20190419,   108.5000
1303   ,南亞         ,20190419,    77.5000
6505   ,台塑化       ,20190419,   113.5000
1326   ,台化         ,20190422,   109.0000
1301   ,台塑         ,20190422,   108.5000
1303   ,南亞         ,20190422,    77.5000
6505   ,台塑化       ,20190422,   114.0000
1326   ,台化         ,20190423,   109.0000
1301   ,台塑         ,20190423,   109.5000
1303   ,南亞         ,20190423,    77.8000
6505   ,台塑化       ,20190423,   115.5000
1326   ,台化         ,20190424,   108.5000
1301   ,台塑         ,20190424,   109.5000
1303   ,南亞         ,20190424,    77.5000
6505   ,台塑化       ,20190424,   115.0000
1326   ,台化         ,20190425,   109.5000
1301   ,台塑         ,20190425,   110.5000
1303   ,南亞         ,20190425,    78.0000
6505   ,台塑化       ,20190425,   115.0000
1326   ,台化         ,20190426,   110.5000
1301   ,台塑         ,20190426,   111.5000
1303   ,南亞         ,20190426,    78.3000
6505   ,台塑化       ,20190426,   115.0000
1326   ,台化         ,20190429,   111.0000
1301   ,台塑         ,20190429,   112.5000
1303   ,南亞         ,20190429,    78.0000
6505   ,台塑化       ,20190429,   115.0000
1326   ,台化         ,20190430,   111.0000
1301   ,台塑         ,20190430,   112.0000
1303   ,南亞         ,20190430,    78.1000
6505   ,台塑化       ,20190430,   114.5000
1326   ,台化         ,20190502,   113.0000
1301   ,台塑         ,20190502,   112.0000
1303   ,南亞         ,20190502,    79.0000
6505   ,台塑化       ,20190502,   115.0000
1326   ,台化         ,20190503,   112.0000
1301   ,台塑         ,20190503,   111.0000
1303   ,南亞         ,20190503,    78.8000
6505   ,台塑化       ,20190503,   115.5000
1326   ,台化         ,20190506,   111.0000
1301   ,台塑         ,20190506,   111.0000
1303   ,南亞         ,20190506,    78.0000
6505   ,台塑化       ,20190506,   113.0000
1326   ,台化         ,20190507,   109.5000
1301   ,台塑         ,20190507,   110.5000
1303   ,南亞         ,20190507,    78.2000
6505   ,台塑化       ,20190507,   113.0000
1326   ,台化         ,20190508,   108.5000
1301   ,台塑         ,20190508,   109.5000
1303   ,南亞         ,20190508,    77.6000
6505   ,台塑化       ,20190508,   110.5000
1326   ,台化         ,20190509,   106.0000
1301   ,台塑         ,20190509,   108.5000
1303   ,南亞         ,20190509,    76.8000
6505   ,台塑化       ,20190509,   107.0000
1326   ,台化         ,20190510,   107.0000
1301   ,台塑         ,20190510,   109.5000
1303   ,南亞         ,20190510,    77.2000
6505   ,台塑化       ,20190510,   106.5000
1326   ,台化         ,20190513,   106.5000
1301   ,台塑         ,20190513,   108.5000
1303   ,南亞         ,20190513,    76.4000
6505   ,台塑化       ,20190513,   107.0000
1326   ,台化         ,20190514,   106.0000
1301   ,台塑         ,20190514,   108.0000
1303   ,南亞         ,20190514,    76.3000
6505   ,台塑化       ,20190514,   107.0000
1326   ,台化         ,20190515,   106.0000
1301   ,台塑         ,20190515,   109.0000
1303   ,南亞         ,20190515,    76.7000
6505   ,台塑化       ,20190515,   109.0000
1326   ,台化         ,20190516,   106.0000
1301   ,台塑         ,20190516,   108.5000
1303   ,南亞         ,20190516,    76.6000
6505   ,台塑化       ,20190516,   111.0000
1326   ,台化         ,20190517,   106.0000
1301   ,台塑         ,20190517,   108.5000
1303   ,南亞         ,20190517,    76.5000
6505   ,台塑化       ,20190517,   113.0000
1326   ,台化         ,20190520,   107.0000
1301   ,台塑         ,20190520,   110.0000
1303   ,南亞         ,20190520,    77.5000
6505   ,台塑化       ,20190520,   114.5000
1326   ,台化         ,20190521,   107.5000
1301   ,台塑         ,20190521,   111.0000
1303   ,南亞         ,20190521,    78.6000
6505   ,台塑化       ,20190521,   116.5000
1326   ,台化         ,20190522,   107.0000
1301   ,台塑         ,20190522,   110.0000
1303   ,南亞         ,20190522,    77.5000
6505   ,台塑化       ,20190522,   116.0000
1326   ,台化         ,20190523,   106.5000
1301   ,台塑         ,20190523,   109.0000
1303   ,南亞         ,20190523,    77.9000
6505   ,台塑化       ,20190523,   116.0000
1326   ,台化         ,20190524,   106.0000
1301   ,台塑         ,20190524,   108.5000
1303   ,南亞         ,20190524,    77.6000
6505   ,台塑化       ,20190524,   115.0000
1326   ,台化         ,20190527,   106.5000
1301   ,台塑         ,20190527,   109.5000
1303   ,南亞         ,20190527,    78.4000
6505   ,台塑化       ,20190527,   116.0000
1326   ,台化         ,20190528,   106.5000
1301   ,台塑         ,20190528,   110.0000
1303   ,南亞         ,20190528,    78.4000
6505   ,台塑化       ,20190528,   113.0000
1326   ,台化         ,20190529,   106.5000
1301   ,台塑         ,20190529,   109.0000
1303   ,南亞         ,20190529,    77.5000
6505   ,台塑化       ,20190529,   114.0000
1326   ,台化         ,20190530,   107.0000
1301   ,台塑         ,20190530,   110.0000
1303   ,南亞         ,20190530,    77.8000
6505   ,台塑化       ,20190530,   115.0000
1326   ,台化         ,20190531,   107.5000
1301   ,台塑         ,20190531,   110.5000
1303   ,南亞         ,20190531,    78.5000
6505   ,台塑化       ,20190531,   116.0000
1326   ,台化         ,20190603,   106.5000
1301   ,台塑         ,20190603,   109.5000
1303   ,南亞         ,20190603,    78.3000
6505   ,台塑化       ,20190603,   116.0000
1326   ,台化         ,20190604,   106.5000
1301   ,台塑         ,20190604,   109.0000
1303   ,南亞         ,20190604,    78.3000
6505   ,台塑化       ,20190604,   115.0000
1326   ,台化         ,20190605,   107.5000
1301   ,台塑         ,20190605,   110.0000
1303   ,南亞         ,20190605,    78.5000
6505   ,台塑化       ,20190605,   116.5000
1326   ,台化         ,20190606,   107.5000
1301   ,台塑         ,20190606,   110.0000
1303   ,南亞         ,20190606,    78.5000
6505   ,台塑化       ,20190606,   115.0000
1326   ,台化         ,20190610,   107.5000
1301   ,台塑         ,20190610,   111.0000
1303   ,南亞         ,20190610,    77.7000
6505   ,台塑化       ,20190610,   116.0000
1326   ,台化         ,20190611,   108.0000
1301   ,台塑         ,20190611,   111.5000
1303   ,南亞         ,20190611,    78.0000
6505   ,台塑化       ,20190611,   115.0000
1326   ,台化         ,20190612,   109.5000
1301   ,台塑         ,20190612,   112.0000
1303   ,南亞         ,20190612,    77.8000
6505   ,台塑化       ,20190612,   114.5000
1326   ,台化         ,20190613,   110.5000
1301   ,台塑         ,20190613,   112.0000
1303   ,南亞         ,20190613,    77.9000
6505   ,台塑化       ,20190613,   114.0000
1326   ,台化         ,20190614,   110.5000
1301   ,台塑         ,20190614,   112.0000
1303   ,南亞         ,20190614,    78.4000
6505   ,台塑化       ,20190614,   115.0000
1326   ,台化         ,20190617,   110.5000
1301   ,台塑         ,20190617,   112.5000
1303   ,南亞         ,20190617,    78.4000
6505   ,台塑化       ,20190617,   115.5000
1326   ,台化         ,20190618,   111.5000
1301   ,台塑         ,20190618,   112.5000
1303   ,南亞         ,20190618,    78.7000
6505   ,台塑化       ,20190618,   116.5000
1326   ,台化         ,20190619,   112.0000
1301   ,台塑         ,20190619,   113.0000
1303   ,南亞         ,20190619,    78.9000
6505   ,台塑化       ,20190619,   118.5000
1326   ,台化         ,20190620,   111.0000
1301   ,台塑         ,20190620,   112.5000
1303   ,南亞         ,20190620,    78.5000
6505   ,台塑化       ,20190620,   111.0000
1326   ,台化         ,20190621,   110.0000
1301   ,台塑         ,20190621,   113.0000
1303   ,南亞         ,20190621,    78.8000
6505   ,台塑化       ,20190621,   113.0000
1326   ,台化         ,20190624,   111.0000
1301   ,台塑         ,20190624,   114.5000
1303   ,南亞         ,20190624,    79.4000
6505   ,台塑化       ,20190624,   113.0000
1326   ,台化         ,20190625,   110.0000
1301   ,台塑         ,20190625,   114.5000
1303   ,南亞         ,20190625,    79.1000
6505   ,台塑化       ,20190625,   111.5000
1326   ,台化         ,20190626,   102.0000
1301   ,台塑         ,20190626,   114.5000
1303   ,南亞         ,20190626,    78.6000
6505   ,台塑化       ,20190626,   111.0000
1326   ,台化         ,20190627,   104.0000
1301   ,台塑         ,20190627,   114.5000
1303   ,南亞         ,20190627,    78.6000
6505   ,台塑化       ,20190627,   111.5000
1326   ,台化         ,20190628,   103.0000
1301   ,台塑         ,20190628,   114.5000
1303   ,南亞         ,20190628,    78.6000
6505   ,台塑化       ,20190628,   110.5000
1326   ,台化         ,20190701,   102.0000
1301   ,台塑         ,20190701,   115.0000
1303   ,南亞         ,20190701,    78.8000
6505   ,台塑化       ,20190701,   110.0000
1326   ,台化         ,20190702,   100.5000
1301   ,台塑         ,20190702,   105.5000
1303   ,南亞         ,20190702,    78.3000
6505   ,台塑化       ,20190702,   108.0000
1326   ,台化         ,20190703,   100.5000
1301   ,台塑         ,20190703,   105.0000
1303   ,南亞         ,20190703,    72.6000
6505   ,台塑化       ,20190703,   107.0000
1326   ,台化         ,20190704,   100.0000
1301   ,台塑         ,20190704,   104.5000
1303   ,南亞         ,20190704,    72.7000
6505   ,台塑化       ,20190704,   107.5000
1326   ,台化         ,20190705,   100.0000
1301   ,台塑         ,20190705,   104.5000
1303   ,南亞         ,20190705,    73.1000
6505   ,台塑化       ,20190705,   107.0000
1326   ,台化         ,20190708,    99.0000
1301   ,台塑         ,20190708,   104.0000
1303   ,南亞         ,20190708,    72.5000
6505   ,台塑化       ,20190708,   106.5000
1326   ,台化         ,20190709,    98.5000
1301   ,台塑         ,20190709,   102.0000
1303   ,南亞         ,20190709,    72.1000
6505   ,台塑化       ,20190709,   107.5000
1326   ,台化         ,20190710,    98.7000
1301   ,台塑         ,20190710,   103.0000
1303   ,南亞         ,20190710,    72.3000
6505   ,台塑化       ,20190710,   107.0000
1326   ,台化         ,20190711,    98.3000
1301   ,台塑         ,20190711,   102.5000
1303   ,南亞         ,20190711,    72.0000
6505   ,台塑化       ,20190711,   107.5000
1326   ,台化         ,20190712,    98.4000
1301   ,台塑         ,20190712,   104.0000
1303   ,南亞         ,20190712,    72.0000
6505   ,台塑化       ,20190712,   107.5000
1326   ,台化         ,20190715,    97.8000
1301   ,台塑         ,20190715,   105.5000
1303   ,南亞         ,20190715,    72.0000
6505   ,台塑化       ,20190715,   108.0000
1326   ,台化         ,20190716,    97.9000
1301   ,台塑         ,20190716,   104.0000
1303   ,南亞         ,20190716,    71.7000
6505   ,台塑化       ,20190716,   107.5000
1326   ,台化         ,20190717,    97.1000
1301   ,台塑         ,20190717,   102.0000
1303   ,南亞         ,20190717,    72.6000
6505   ,台塑化       ,20190717,   107.5000
1326   ,台化         ,20190718,    96.8000
1301   ,台塑         ,20190718,   101.5000
1303   ,南亞         ,20190718,    71.9000
6505   ,台塑化       ,20190718,   106.0000
1326   ,台化         ,20190719,    96.5000
1301   ,台塑         ,20190719,   101.0000
1303   ,南亞         ,20190719,    71.9000
6505   ,台塑化       ,20190719,   106.5000
1326   ,台化         ,20190722,    96.5000
1301   ,台塑         ,20190722,   102.0000
1303   ,南亞         ,20190722,    71.9000
6505   ,台塑化       ,20190722,   107.5000
1326   ,台化         ,20190723,    96.4000
1301   ,台塑         ,20190723,   103.5000
1303   ,南亞         ,20190723,    71.7000
6505   ,台塑化       ,20190723,   107.5000
1326   ,台化         ,20190724,    96.2000
1301   ,台塑         ,20190724,   101.0000
1303   ,南亞         ,20190724,    71.4000
6505   ,台塑化       ,20190724,   106.0000
1326   ,台化         ,20190725,    96.1000
1301   ,台塑         ,20190725,   101.5000
1303   ,南亞         ,20190725,    71.6000
6505   ,台塑化       ,20190725,   107.0000
1326   ,台化         ,20190726,    96.0000
1301   ,台塑         ,20190726,   101.0000
1303   ,南亞         ,20190726,    71.7000
6505   ,台塑化       ,20190726,   106.5000
1326   ,台化         ,20190729,    95.3000
1301   ,台塑         ,20190729,   101.0000
1303   ,南亞         ,20190729,    71.6000
6505   ,台塑化       ,20190729,   107.5000
1326   ,台化         ,20190730,    95.1000
1301   ,台塑         ,20190730,   101.5000
1303   ,南亞         ,20190730,    71.5000
6505   ,台塑化       ,20190730,   107.0000
1326   ,台化         ,20190731,    95.0000
1301   ,台塑         ,20190731,   100.5000
1303   ,南亞         ,20190731,    71.3000
6505   ,台塑化       ,20190731,   106.0000
1326   ,台化         ,20190801,    93.9000
1301   ,台塑         ,20190801,    99.5000
1303   ,南亞         ,20190801,    70.7000
6505   ,台塑化       ,20190801,   105.0000
1326   ,台化         ,20190802,    92.0000
1301   ,台塑         ,20190802,    97.5000
1303   ,南亞         ,20190802,    69.7000
6505   ,台塑化       ,20190802,   105.0000
1326   ,台化         ,20190805,    90.6000
1301   ,台塑         ,20190805,    96.5000
1303   ,南亞         ,20190805,    69.1000
6505   ,台塑化       ,20190805,   103.5000
1326   ,台化         ,20190806,    89.2000
1301   ,台塑         ,20190806,    95.8000
1303   ,南亞         ,20190806,    68.3000
6505   ,台塑化       ,20190806,   102.0000
1326   ,台化         ,20190807,    89.1000
1301   ,台塑         ,20190807,    95.3000
1303   ,南亞         ,20190807,    68.1000
6505   ,台塑化       ,20190807,   101.0000
1326   ,台化         ,20190808,    88.6000
1301   ,台塑         ,20190808,    95.2000
1303   ,南亞         ,20190808,    68.1000
6505   ,台塑化       ,20190808,   100.5000
1326   ,台化         ,20190812,    86.1000
1301   ,台塑         ,20190812,    93.9000
1303   ,南亞         ,20190812,    67.6000
6505   ,台塑化       ,20190812,   100.0000
1326   ,台化         ,20190813,    86.3000
1301   ,台塑         ,20190813,    92.5000
1303   ,南亞         ,20190813,    67.0000
6505   ,台塑化       ,20190813,    99.0000
1326   ,台化         ,20190814,    86.5000
1301   ,台塑         ,20190814,    93.6000
1303   ,南亞         ,20190814,    66.9000
6505   ,台塑化       ,20190814,    99.0000
1326   ,台化         ,20190815,    85.3000
1301   ,台塑         ,20190815,    90.3000
1303   ,南亞         ,20190815,    66.0000
6505   ,台塑化       ,20190815,    95.2000
1326   ,台化         ,20190816,    86.2000
1301   ,台塑         ,20190816,    91.1000
1303   ,南亞         ,20190816,    67.2000
6505   ,台塑化       ,20190816,    98.8000
